True_Values,Predictions
2,1.1923168
3,1.2367538
1,0.3339579
2,1.2300307
7,5.0154543
2,1.0698892
2,1.1285813
3,2.6547651
6,3.8674843
3,2.1190515
2,1.0898933
0,0.9232333
4,3.0306406
5,3.778127
3,2.8916047
5,3.7307177
-1,0.24150454
6,4.5763254
4,2.8510613
12,9.260504
2,1.144349
1,0.37335634
2,1.16295
6,4.02954
4,3.2390716
2,1.6857885
9,7.471733
5,3.047884
15,13.887094
1,0.74851465
6,4.0938387
6,4.5516534
12,9.845309
5,4.1487722
4,3.5689983
2,2.1519723
5,4.003459
3,2.4089642
3,2.6467662
3,2.7625446
4,3.0594516
1,1.401227
3,2.8765676
3,2.8893
2,1.5482603
3,3.0300474
7,5.059641
2,2.104012
3,2.4433427
3,2.6818402
2,2.1904287
4,4.0797677
2,2.3827312
2,2.6014643
3,2.98105
0,1.1696601
5,6.803813
3,2.841496
6,5.130402
0,0.6248667
4,3.1232777
2,2.947483
3,2.901804
4,3.4659824
3,3.127596
1,2.4900184
2,2.4140263
2,0.6913327
1,-0.008474479
1,0.062902085
-1,-0.9630532
1,0.19660912
2,0.5800891
2,0.8761244
9,8.084109
5,5.794298
3,2.041171
9,8.438314
4,3.134171
4,2.952992
-7,-3.128789
3,2.0003333
3,1.682192
1,0.6515317
2,1.4295832
10,8.452917
12,10.119337
2,1.4799167
10,8.826135
3,2.1497378
2,2.0349846
4,2.7097807
1,1.5875447
2,1.9493566
2,1.7687061
1,1.1252226
4,3.8400693
0,0.7078655
2,1.41187
7,6.4652696
3,2.710905
8,8.009122
2,1.6968156
16,15.620317
1,1.7547804
3,2.6896102
2,1.8148805
2,2.246921
10,9.287053
11,10.789111
3,3.3540757
3,5.431772
2,2.4274282
9,8.710838
2,1.8038524
3,2.574524
9,7.9178824
0,0.43506074
4,2.7824304
4,2.9943705
2,2.221155
2,0.8478037
1,0.5556016
0,-0.39991033
2,1.1562253
2,0.7951045
2,1.0019346
6,3.9810662
2,0.9427395
2,1.4939609
7,7.122486
1,0.51775324
2,0.96745384
5,3.4088726
11,10.214054
2,0.9725542
0,0.5644227
5,3.4520662
16,15.39901
5,4.1054063
0,0.18589817
-1,-0.3934027
3,1.9815311
1,0.82342637
2,1.1553115
2,1.3426186
3,2.777618
2,1.6775509
3,2.6035614
1,0.99702346
2,1.4389838
1,0.85703444
5,4.4096923
3,2.3465986
4,2.8305936
2,1.9267421
4,2.8764296
1,1.2459593
2,1.413841
2,1.3494043
1,1.320273
1,1.0164838
2,1.4724876
2,2.1576293
1,0.40166497
-6,-2.7328231
10,8.235569
2,1.3228263
4,2.8502474
-5,-1.797416
-1,-0.6312107
9,7.510213
1,0.84591687
2,1.5420469
4,2.9431024
2,1.8618277
2,1.3025265
3,2.59794
2,1.6582613
0,0.64343524
0,0.33305156
3,2.1656744
4,3.1491463
3,2.2557907
2,1.7327259
5,4.273523
3,2.4308863
2,1.7430845
6,4.49049
5,3.4017007
2,1.8773019
5,3.9005952
2,2.1108663
3,2.749343
10,9.091775
10,9.01546
4,3.2225327
2,2.2123613
0,1.372202
1,1.5774962
1,0.6073003
3,3.0988207
6,4.7080584
1,1.5247049
3,2.4489183
5,3.5190992
2,1.59358
4,3.4412348
4,2.8232996
2,1.846073
3,2.7323241
3,2.2831712
3,2.200447
1,0.96970886
3,2.1129026
3,2.6482744
4,3.2211127
3,1.8555903
1,0.13152991
2,0.7675024
1,0.5852511
3,1.8371085
3,1.8103243
2,1.6620554
2,0.935933
2,0.8588891
3,1.9106711
2,0.83212113
2,1.8036327
2,1.2839242
0,1.1098049
2,1.6610104
3,2.053902
2,0.5318055
0,0.0010211369
-1,-0.8697815
-4,-2.2801113
3,1.9153129
1,0.3861798
3,1.6577603
1,0.7369385
1,0.24553238
3,2.02534
2,1.8489351
4,2.7852337
1,0.5249376
2,1.263422
0,-0.1581365
2,1.4477571
7,4.38285
5,3.9307725
6,5.635742
7,7.0841007
5,4.7167397
1,1.0217656
2,1.4769856
2,2.2234051
5,3.4349465
4,3.0025506
6,5.085991
11,9.762194
3,3.1175013
4,3.5726852
2,0.81970537
2,0.87303305
2,1.3060951
1,0.31559575
1,0.4936298
1,0.530434
4,3.6676466
8,6.960806
7,5.2011113
7,6.597314
1,0.94844353
6,4.954195
4,3.3384852
3,2.8283114
12,12.067769
2,2.0334458
10,9.429985
2,1.8770989
7,6.7172027
4,3.9564023
2,2.1581917
9,9.353402
4,3.3985434
2,1.8567015
2,2.1040587
9,9.165519
11,9.400402
4,2.1339765
1,0.47230005
1,1.3245424
5,3.759286
2,1.6745008
2,1.3989636
2,1.6611466
2,1.0510731
2,1.8836197
4,2.7321877
5,3.5534122
6,4.879859
5,3.6191711
4,2.7780457
3,2.3688645
5,4.544581
5,3.9738262
3,2.4644942
3,2.3126793
6,5.5404587
2,1.715933
2,1.813127
3,2.3092089
2,1.2288265
9,7.849469
0,0.2669114
1,0.7523515
2,1.5534333
2,0.9554708
1,0.50719523
2,1.2858695
9,8.745927
9,8.329341
1,0.89681196
2,1.758157
1,0.6504713
1,0.5865495
1,0.26611495
4,2.3552341
2,0.9730972
1,0.18678711
1,1.3224844
4,3.4965885
3,2.8941936
2,1.4527602
5,4.821539
2,2.306096
3,2.5326245
1,1.1600288
3,2.7087018
4,3.7277596
5,5.073738
5,4.8862143
3,1.4505461
0,-0.3815068
0,-0.3143643
4,2.524002
-2,-0.5077256
3,2.1744757
6,4.527239
11,9.57183
-6,-2.607446
11,9.476077
3,2.210967
3,1.8366035
8,7.0033627
9,9.646777
6,5.0167246
5,4.028572
1,0.14452146
2,1.9596112
9,8.802997
9,9.028892
2,2.1466227
10,10.134316
4,3.059098
3,3.1600025
1,1.3726357
8,7.791849
0,0.7349993
2,2.3049304
4,3.5709343
13,13.154251
2,2.4777935
12,11.628358
3,1.5528787
0,-0.24671067
2,0.7742828
3,1.936149
1,0.25318766
2,1.0389405
4,2.988462
2,0.88213444
4,4.1426697
10,9.474672
3,3.168318
2,2.2674334
7,6.377053
8,8.1675625
4,4.5442305
-1,0.3066268
2,3.149129
9,8.046294
7,5.75878
4,4.2184877
6,6.1789665
4,3.5882196
2,3.1497347
5,3.8689022
1,0.9107493
2,1.3244793
2,1.8415505
0,0.70684326
0,0.24528728
1,0.75656736
2,1.4200711
1,0.9994538
2,1.4811324
2,1.6336328
2,1.2549666
12,9.79658
0,0.6457119
3,2.240447
9,8.036187
3,2.2554524
3,1.8890746
10,8.468818
8,7.7873607
3,2.0259347
4,2.8171155
2,1.5293051
9,8.069829
2,2.020976
5,3.6957448
3,2.3957326
3,2.080203
1,0.36293066
1,0.95573974
0,0.002650132
12,9.320399
2,2.0088568
3,2.0207453
3,2.3743386
3,2.4045496
6,4.5303516
4,3.2644536
2,1.4900872
2,1.3110558
2,1.3071214
2,1.5110472
0,0.25016356
1,1.0846491
2,1.519637
5,3.254667
2,1.438702
1,0.9016484
1,1.0275518
3,2.269063
10,8.84998
1,1.1628999
10,9.902465
9,9.285311
2,2.3607867
4,3.072577
4,3.8106933
3,2.522573
5,4.855809
6,4.654107
3,2.5070252
5,3.7636256
0,0.91206527
1,0.8675834
5,3.167354
1,0.9941155
5,3.1955264
10,8.935548
0,0.3324678
1,0.80231965
0,0.3579768
2,2.2817233
14,11.589717
6,5.2412643
2,2.2344022
2,2.3728433
3,2.4425437
2,2.0924985
3,3.0577135
1,1.361437
3,2.7660484
2,2.3850808
6,6.6140404
1,1.7499381
5,4.062896
3,3.1737683
1,1.7889559
2,2.063404
3,2.8141782
11,9.6152725
8,7.545751
2,1.5852301
2,1.5025789
12,11.687966
4,3.1087074
4,3.0058858
4,3.9133487
3,3.0282936
10,9.386395
4,3.6512535
8,7.0504236
4,3.575035
0,0.2740656
2,1.2886189
2,0.7262331
1,0.21423052
1,0.12289523
3,1.6026789
5,3.611694
2,2.206881
6,3.7542267
-4,-2.2722623
2,1.6570895
3,2.20965
4,3.073849
0,0.61801565
4,3.0152454
5,4.4218545
1,1.6425687
2,1.9039825
11,9.575369
1,1.7175144
0,-0.30165493
1,0.29648244
1,0.38297296
2,1.0557876
0,0.4575919
11,8.875065
2,1.345892
4,3.116866
1,0.31366348
2,1.0182697
-7,-3.5804877
4,4.28191
3,3.3679993
0,0.45558798
3,2.5485096
4,3.5832124
3,2.4898906
3,2.3788126
2,1.6771814
1,0.7407304
3,2.0299172
1,1.025814
1,1.1932138
3,2.3123627
4,2.5951958
3,2.8039947
6,5.004273
4,3.3491185
4,2.8008757
3,2.831728
1,1.3244618
2,1.7627527
3,2.6140687
2,1.9512781
4,2.7638083
16,15.908507
5,3.9972644
1,0.9282192
2,2.2550197
2,2.421885
3,2.5475593
4,3.6079628
5,3.7132745
1,1.2196282
2,1.6862916
4,4.3083262
2,1.8702494
2,1.9417976
0,0.61335254
3,2.3027968
3,1.9743052
3,1.9117721
7,4.9463787
2,1.9423813
2,1.8993257
4,2.735256
4,2.5861049
2,2.136816
4,2.963581
8,7.705042
5,4.0324516
3,2.2212431
4,2.9345434
2,1.7852962
9,7.179076
2,2.4903228
2,1.2762932
1,1.6811785
2,2.342018
6,5.2601113
2,2.267255
4,3.004289
0,0.6503414
2,1.5725037
1,0.9616989
2,1.6858529
4,3.1664627
4,3.4273508
5,4.438832
11,10.084457
6,4.7408295
4,2.7868414
3,2.6543143
6,5.2505455
3,2.8964949
2,1.8920143
5,4.0895967
5,4.099001
10,9.243392
5,3.7514546
4,3.494379
7,7.3035617
1,0.64538944
15,13.929404
0,0.8861517
16,14.711696
0,0.8083284
4,3.61966
5,4.4301233
12,10.612531
9,8.503218
2,2.014831
0,0.3231963
0,0.525179
4,2.8300147
11,9.999457
3,2.4482522
6,3.8629782
4,2.9756134
2,1.4085969
0,-0.0036561587
3,2.3937192
0,-0.06846667
4,3.0383372
3,2.4760103
2,1.9899646
2,1.0908295
6,3.669391
5,2.977851
-1,-0.20247568
2,1.9662904
3,2.3710487
2,1.4583895
2,1.1929226
3,2.4551523
4,2.2311127
-1,-0.5064651
3,2.1531892
2,1.9773905
2,1.3009955
2,1.7287271
5,4.1033
2,1.3833584
3,1.7577206
1,0.93114495
2,2.2925868
4,2.7252986
1,1.0287101
-1,-0.66670525
2,1.5280955
3,2.121983
4,2.3600402
2,0.95593023
1,0.91552544
2,0.5479977
1,0.65931165
-2,-0.9380646
2,0.68538916
4,1.7972269
7,4.482915
7,4.485238
12,10.028854
8,5.2859154
6,3.5705435
3,1.4495997
5,2.791758
6,3.8311558
10,8.972125
5,4.062885
6,5.0548363
4,4.492403
3,3.2795525
2,2.6408477
3,4.1195383
2,1.8899428
2,1.6982241
1,1.2234764
0,1.146737
2,2.362574
16,17.42996
16,16.227377
9,8.783022
11,8.539067
2,0.9395672
-8,-4.9924974
12,9.289303
3,2.2560163
2,1.8159467
3,2.943715
5,3.557546
3,2.425148
1,0.61140406
3,2.093534
0,0.53549993
2,1.8423462
2,1.6334015
0,1.4097625
2,2.121104
2,1.9219822
4,3.2160761
3,2.9559755
8,5.9594407
3,3.7163277
2,2.4517
2,2.2988002
5,4.0538735
4,3.8653777
3,2.8460178
5,4.212329
3,2.7390058
6,4.5524235
4,3.7979627
-1,-0.44757307
5,4.152891
2,2.575533
1,1.5912353
5,4.6856546
3,2.9074655
4,4.0168486
1,0.63013387
1,0.3535484
2,1.4607106
2,1.4668112
3,1.4198192
0,-0.12990202
5,2.4531713
3,1.5390882
1,0.8482057
3,1.779663
2,2.1329083
6,5.3073807
2,1.5584217
3,3.6995816
7,6.0022345
4,4.9662676
7,5.5747666
1,0.567224
1,1.1724358
1,1.2895027
1,0.35472763
7,6.520609
3,1.5950733
0,0.17224394
2,1.3106781
1,0.6695887
4,3.2238016
2,1.7893683
5,4.6187305
3,2.355357
1,0.82859623
9,8.333125
2,1.4979634
9,8.24193
1,0.8773738
2,1.6888977
1,0.99998295
-8,-3.7343566
2,2.4191933
1,0.8727999
0,0.6342995
6,4.4641733
3,2.5226157
2,1.5701225
2,1.6997253
3,2.2068343
1,1.2564793
5,3.2359905
3,2.75393
1,1.0409325
2,0.9521422
3,2.064236
3,2.094883
1,0.85029817
2,1.1148711
3,2.0519042
3,1.8886976
2,1.4955353
4,4.438925
2,1.6374165
8,6.987261
2,1.5461756
2,2.1219807
5,5.0589867
2,2.0550518
7,5.9574585
5,4.0194907
1,1.1524025
3,1.3130691
2,0.7090044
2,0.87184906
2,1.0796716
1,0.6111721
2,0.73383033
2,0.7396227
2,0.8358065
2,0.92046237
2,0.9830507
4,2.7979298
2,0.9282963
2,1.7048906
8,7.8218293
1,0.96836245
15,14.554217
8,7.668849
4,3.937049
3,2.5216773
1,1.0251223
4,3.6335597
1,0.93540823
8,8.089002
1,1.5421066
4,3.5940053
3,2.588831
3,2.7058496
3,2.6542587
6,5.224613
2,1.6916538
-1,0.5999925
3,2.56246
3,2.4782193
6,4.8521757
4,3.8179593
5,4.174632
1,1.3800853
2,2.187296
2,2.5178246
6,4.564701
5,4.0245833
2,1.2011591
2,1.585752
3,2.529175
3,2.9362133
-1,-0.1413026
1,1.073186
3,2.7754517
10,8.911843
4,3.649479
6,3.8110237
1,0.33388984
2,1.7018645
2,1.7723514
2,1.8120233
4,3.5968168
5,3.7977443
1,1.4458686
3,2.4404228
2,1.3298997
1,1.7219269
1,0.41798103
0,0.7222413
0,0.8462156
1,1.1672207
1,1.1105984
0,0.24074231
3,2.972281
2,1.4872252
0,0.51277316
2,1.7643253
10,9.6358595
2,1.7917397
3,2.2702708
2,1.9227244
2,1.5259877
3,2.5011888
1,1.1293297
0,0.51389027
2,1.6333325
4,3.221733
2,1.8602467
8,7.085838
2,1.9315338
3,2.472913
2,1.3064486
9,9.943148
3,2.4741025
6,4.3419714
9,8.571738
-1,-0.3204764
16,16.606844
2,1.9856924
16,15.049754
10,8.916475
3,2.6667788
6,5.5079336
3,2.6185272
12,11.467179
4,2.9163365
8,6.4344273
3,2.3255346
2,1.8203737
3,2.069972
2,2.4544368
6,4.7952123
7,5.9187784
2,1.5941943
7,4.902771
2,1.7198011
7,6.3351207
2,2.513107
6,5.348077
5,4.764743
3,3.0663085
14,12.595252
4,3.3353124
4,3.5624402
0,0.6251364
7,5.232033
1,1.3299536
1,1.452803
0,1.1696801
7,4.9760227
2,1.0727464
12,9.985677
6,4.531521
3,2.9479978
5,3.9558878
5,3.8543751
10,8.700449
3,2.4862585
1,1.0635418
4,3.3873675
0,0.1641197
11,9.678281
2,1.4146243
2,2.3995829
4,3.237506
7,4.7606077
6,3.8091524
3,2.3170228
3,1.8323989
6,4.486732
9,8.461697
4,3.2794223
4,3.3055785
3,2.2166421
3,2.6139395
2,1.3008767
1,1.5958166
3,2.8623462
6,4.7537885
3,2.7161295
5,3.6227446
1,1.1046226
2,1.9840792
4,3.2186716
2,3.0705404
4,3.4628654
3,3.390811
2,2.4633055
-1,-0.32874346
6,4.4070396
-1,0.29208672
3,2.1241112
2,1.2502222
3,2.0423512
3,2.315476
2,1.8004588
1,1.1738099
1,0.65324116
1,0.66978145
2,1.9487832
5,3.0625384
3,2.4710715
0,-0.14201738
3,2.5992694
2,1.8908342
0,0.22717892
3,2.6063952
4,2.460161
3,2.3283577
4,3.0017507
3,2.7843246
4,2.5193324
3,2.8709335
4,3.3159208
2,1.8527098
3,2.5563467
4,2.5525913
2,2.0774107
11,9.65566
1,0.8653858
1,0.98386776
2,1.2891179
5,3.2686317
1,0.69424486
1,0.76771295
1,1.4875398
3,2.6732101
4,2.2041502
-1,-0.23442723
4,2.1806316
3,1.5935562
1,0.2827611
2,1.2973516
-5,-2.9336576
0,-0.51616824
2,0.91544336
1,-0.0139317615
2,0.5569037
2,1.623641
1,0.921648
8,7.3186903
5,3.2346222
5,3.0684247
1,1.9129394
4,2.9166932
3,2.625331
3,2.7176251
3,2.1517534
2,1.5156242
2,1.9432902
2,2.2811966
3,2.3728113
-1,0.33979142
0,1.7805973
2,1.8037374
3,2.8149858
2,1.873146
3,2.8766713
2,2.339423
2,1.8843327
3,2.4266644
7,6.277359
1,1.7642735
2,2.591748
6,4.1497927
2,2.261002
3,1.8656274
2,1.6447762
3,2.0021143
3,2.7642026
3,2.3588974
3,2.6565704
2,1.8845154
0,0.4369955
5,4.340455
2,1.8703961
2,1.610958
11,9.628781
6,5.1747913
5,3.9333582
19,16.456402
9,7.0564623
10,9.076467
12,10.567578
2,2.1973615
7,5.704171
6,4.4188185
6,4.9013996
2,1.6601387
5,4.1171865
7,5.6294227
3,2.3397837
2,1.6637818
3,2.2506442
4,2.4790192
4,3.6930165
1,1.2895981
5,3.7550628
3,2.2656236
2,1.6874248
3,2.4737418
2,2.2969198
6,4.4796705
2,1.9417816
2,1.2229099
0,0.3503443
10,8.912844
2,1.66906
3,2.2435503
5,3.821405
11,10.341081
6,5.4215584
3,2.7977114
2,1.8481867
3,2.1145124
4,3.6076186
5,3.8065302
3,2.376393
0,0.49696136
6,5.2939196
3,3.474275
2,1.919524
5,5.1715627
8,5.6104927
5,4.4972534
5,4.1938066
0,1.4705585
6,5.28823
3,3.2506745
2,1.5346612
2,2.238327
2,1.940035
2,1.5861739
1,0.90888953
2,1.4412351
2,1.8474578
0,0.4465785
5,3.1240227
2,1.9955053
1,1.0255715
0,0.12116157
2,1.8223879
1,1.1519748
7,5.08544
7,4.656672
3,2.5201473
5,3.849046
4,2.5319948
7,5.221525
13,11.00952
5,3.7306108
7,6.221159
2,1.3829488
2,2.5193167
-5,-2.0778735
3,2.5410628
1,1.4844744
-1,0.9641093
3,1.8678424
3,3.0273309
2,1.9248458
3,2.6187263
6,4.065917
2,1.1037482
8,7.0563116
1,0.20689784
1,0.03502666
10,8.649572
4,2.345433
0,-0.01885868
0,0.19377135
4,3.5139804
2,1.5162656
5,4.8624945
1,1.3516811
2,1.4227484
3,2.696764
4,3.4335647
5,3.6257377
3,2.9403434
4,3.362992
5,5.0168934
4,3.1109874
8,5.5385
5,3.1483018
4,3.1099198
2,0.9451369
2,1.6808724
1,0.6530833
11,9.667206
5,3.262723
3,2.1079493
2,1.7565846
5,3.6231017
2,1.8415327
7,5.20322
6,5.18445
3,2.37211
5,4.656166
2,1.958013
2,2.5466053
1,1.052317
11,9.730005
2,1.2124804
2,2.4582071
2,1.5833582
2,2.2085454
3,1.9552901
2,1.4701368
8,7.5141706
3,2.9203343
3,2.3557415
2,1.1718696
4,2.706042
2,2.301791
6,4.618839
2,1.5297585
4,2.9350066
10,8.960523
-1,-0.26117575
3,2.306358
3,2.366929
2,1.2807721
2,1.2870436
1,0.59262395
1,1.1420568
2,1.1052594
1,0.7510936
1,0.6711774
1,0.9114382
8,7.1608906
9,8.160453
-1,0.109892
2,3.5892768
4,4.0688515
6,6.266922
3,3.4691167
2,2.8817263
5,4.3955894
8,9.371544
2,2.9583347
8,7.068174
6,6.2908845
4,5.101619
0,0.19027375
1,0.5987569
2,1.3147664
2,1.1212693
3,1.7241553
2,0.7603191
1,0.54170513
2,1.3380493
1,0.7156191
1,0.65715134
1,0.8194531
2,1.1178862
2,1.6842115
2,1.730116
3,1.7648591
1,0.6959499
1,0.6789092
1,0.8392583
0,0.5478308
3,2.4187167
3,1.9817417
2,1.2385709
2,1.4831792
2,1.7744802
7,5.5991535
5,3.6341264
3,2.0284503
4,2.9923282
4,4.230255
7,5.263097
4,3.654754
1,0.9282621
4,3.243116
9,8.468273
2,1.2897384
1,0.7476474
1,0.82664454
3,2.1356263
3,2.522081
2,1.4312464
2,1.6799104
2,1.6251985
2,1.853481
1,0.23168217
1,0.39908051
3,2.11208
4,1.9878947
2,1.2239554
2,1.9833254
3,3.0471275
7,5.7863245
6,4.2622027
13,11.518212
2,1.8808055
4,3.8385737
6,4.4938745
7,4.9578958
-9,-4.809912
3,1.8185629
3,2.9625432
3,2.3007898
6,4.8922644
4,3.0682902
2,2.129088
1,0.8766488
7,7.586374
5,4.0606956
5,4.705421
5,3.7988386
4,3.0973697
2,2.5310695
1,1.6884562
4,2.9732673
3,3.1114979
4,3.513005
3,2.692797
4,3.5742118
3,2.8293993
2,0.79404974
0,-0.5887004
2,0.8012178
3,2.2708993
-5,-2.3020253
4,2.7695613
3,2.027111
12,10.372046
4,2.1599226
2,1.7197566
4,2.7561715
8,4.7551475
8,6.8881407
2,0.84758866
2,1.9288018
1,1.1072971
1,0.3956188
0,0.017390242
0,-0.17573287
1,0.66414964
0,-0.094264515
5,3.9514518
10,9.723836
6,4.6737003
4,3.346193
6,4.530365
3,2.869811
5,4.4645104
4,4.1093636
9,7.222474
7,5.7290497
5,4.5041637
9,9.102904
4,4.0219507
5,4.255486
4,3.564617
4,2.0166264
4,2.679229
5,3.2875648
4,2.623393
5,3.3925345
1,0.54751265
9,7.293626
5,3.3257723
5,3.6291838
5,3.9485176
5,3.179278
1,1.5710422
3,2.3358326
5,3.27868
3,1.7644858
5,3.0541868
3,2.6283748
1,0.9615871
4,3.4684024
3,2.6098413
6,4.53512
4,3.3398366
3,2.4953163
3,2.9994035
2,2.1840544
4,5.562869
2,2.2977014
5,4.108315
2,1.9481403
2,1.959827
1,1.7240387
5,3.9731002
1,1.6135156
1,1.5278058
3,2.662775
5,3.9169674
3,2.1689162
2,2.4901264
3,2.2534854
5,3.7290964
4,3.1591544
4,3.4075322
2,1.5047405
2,1.9964707
4,2.9764366
1,0.31859827
4,2.996642
4,3.6897116
3,2.4457817
0,0.10880839
2,1.1169145
3,2.0086002
1,0.527946
2,1.1563164
1,0.61120343
2,1.5602121
1,0.6168289
2,1.6872064
2,2.2911801
2,2.0091834
4,3.4929316
0,-0.62683296
1,-0.1383412
2,1.5642477
4,2.7454238
2,2.0679908
6,4.048477
2,1.3502587
1,1.2906793
5,3.559152
5,3.3372812
2,1.7376888
5,3.5666757
4,2.9549758
4,3.4487941
0,0.5607761
0,0.5012685
-1,-0.6441027
2,1.1864498
2,1.1782308
-1,-0.0069642165
2,1.6146191
3,2.019578
3,2.5411582
5,3.597685
7,5.722153
3,2.1717858
4,2.7408085
3,2.1883883
5,3.4304643
3,2.3440313
3,2.1110876
3,2.286376
4,3.645051
1,1.0787971
3,1.763635
3,2.1762881
2,0.71955645
2,0.66871965
0,-0.3639511
0,0.48457074
5,3.8004322
2,1.1814395
4,3.444707
16,15.171987
2,1.3809018
2,1.2008582
2,1.8165988
-9,-4.6163955
7,6.9287148
3,2.890936
1,1.3792871
1,1.0895491
5,4.4477825
10,10.016076
3,2.440473
3,3.3455868
5,5.034129
10,9.00366
5,5.3843575
6,6.9829745
6,6.9357734
2,3.7269845
5,6.0396595
3,3.7738926
2,2.2352145
2,0.7175945
2,0.70971215
2,0.8263788
1,0.22707556
0,-0.11608601
2,1.2548488
3,2.2614114
1,0.8618604
3,2.0539389
3,1.9259948
1,0.9121709
6,5.324057
